Nodes,SIR
589,252.531
600,247.03
187,248.305
412,248.081
188,243.431
438,243.935
189,243.842
481,258.153
288,247.289
222,251.008
191,255.502
445,245.394
398,248.956
192,254.414
726,242.066
893,251.164
194,253.197
744,243.333
752,246.258
750,252.814
878,248.124
196,247.395
763,252.734
197,245.336
380,251.377
821,250.721
654,242.238
198,248.097
758,247.848
662,247.449
793,240.942
792,247.086
201,251.805
202,246.05
203,246.055
641,251.042
992,251.566
204,260.467
206,249.376
920,253.202
497,234.53
877,245.633
753,242.661
209,239.39
435,251.942
211,246.949
352,255.158
212,249.775
348,241.861
639,238.693
214,250.707
215,249.352
817,246.216
216,254.164
716,249.268
644,256.703
219,248.815
220,250.796
718,245.278
557,242.565
225,215.527
786,243.804
790,241.431
732,247.956
727,214.411
730,255.522
970,254.668
343,252.087
233,239.138
442,255.099
240,251.113
235,260.679
236,238.393
237,252.479
238,244.217
889,253.433
239,239.766
241,235.987
283,246.782
676,245.33
474,252.106
863,251.994
492,244.93
596,246.361
354,255.174
244,244.545
735,245.53
247,249.932
302,243.885
248,246.445
446,252.022
249,247.359
507,250.209
250,243.947
703,249.983
784,245.128
251,250.409
873,246.232
653,262.808
252,242.716
883,251.417
253,242.909
254,245.151
276,252.622
255,252.423
936,252.359
257,246.201
505,237.316
258,258.783
547,248.907
259,253.27
935,257.15
260,245.532
900,241.819
261,244.571
262,244.675
789,244.02
777,246.804
264,242.126
747,248.665
266,251.587
267,233.195
308,247.754
270,247.526
510,245.119
272,245.331
490,249.344
273,248.038
569,252.359
369,250.778
274,250.869
275,245.62
891,245.023
277,248.813
754,256.007
279,245.698
689,258.724
280,246.224
281,257.216
930,240.362
411,249.681
378,242.526
850,242.72
285,248.703
286,248.122
465,244.187
287,247.752
847,244.309
506,248.819
289,252.352
958,253.313
290,244.561
895,242.206
296,263.444
499,243.456
836,246.923
298,256.74
760,250.414
299,251.845
300,253.708
342,250.965
304,251.877
306,246.506
360,254.198
985,246.929
461,248.401
467,250.875
865,253.947
549,246.069
314,249.043
315,245.512
